duration_us,draw_id,image_q,h_gain_lower_active,h_gain_upper_active,v_gain_lower_active,v_gain_upper_active,dark_h_floor_active,dark_h_upper_active,dark_v_floor_active,dark_v_upper_active,either_dark_floor_active,reported_active_nuisance_bounds,eta_supported,rho_y_supported,support_interpretation
25,0,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,0,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,1,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,1,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,2,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,2,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,1,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,2,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,3,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,4,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,5,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,6,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,7,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,8,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,9,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,10,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,11,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,12,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,13,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,14,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,3,15,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,4,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,4,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,5,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,5,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,6,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,6,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,7,1,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,2,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,3,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,4,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,5,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,6,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,7,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,8,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,9,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,10,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,11,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,12,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,13,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,14,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,7,15,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,8,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,8,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,8,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,8,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,8,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,8,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,8,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,9,1,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,2,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,3,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,4,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,5,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,6,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,7,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,8,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,9,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,10,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,11,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,12,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,13,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,14,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,9,15,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,10,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,11,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,12,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,4,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,5,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,6,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,7,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,8,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,9,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,10,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,11,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,12,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,13,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,14,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,13,15,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
25,14,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,14,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,15,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,16,1,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,2,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,3,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,4,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,5,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,6,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,7,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,8,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,9,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,10,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,11,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,12,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,13,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,14,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,16,15,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,1,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,2,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,3,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,4,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,5,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,6,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,7,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,8,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,9,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,10,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,11,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,12,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,13,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,14,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,17,15,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
25,18,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
25,18,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
